Description,Color,Price,Image Source
Embellished Mules,BLACK,"Regular priceRs. 3,299",https://www.limelight.pk/cdn/shop/files/DSC_0891_b8637273-b378-4452-aa2c-a6e49722bba7_330x.jpg?v=1699009025
2 Piece Velvet Suit-Embroidered(Pret),BLUE,"Regular priceRs. 12,999",https://www.limelight.pk/cdn/shop/files/DSC07263_14ef7cce-b0c9-40b4-822a-17dcd8ccf30d_330x.jpg?v=1701863048
Formal Clutch,GOLDEN,"Regular priceRs. 3,499",https://www.limelight.pk/cdn/shop/files/DSC09165_330x.jpg?v=1701322842
2 Piece Velvet Suit-Embellished(Pret),MAROON,"Regular priceRs. 9,699",https://www.limelight.pk/cdn/shop/files/DSC08192_f88e393e-5c56-4e28-ba30-767379345385_330x.jpg?v=1701671639
Red Velvet,MAROON,"Regular priceRs. 4,999",https://www.limelight.pk/cdn/shop/files/DSC_2952_a28a6f88-4215-491e-8827-b4f1e94857d0_330x.jpg?v=1697442262
2 Piece Khaddar Suit-Paste Print(Unstitched),BLUE,"Regular priceRs. 2,599",https://www.limelight.pk/cdn/shop/files/DSC08073_330x.jpg?v=1701067463
Classic Mules,BROWN,"Regular priceRs. 3,199",https://www.limelight.pk/cdn/shop/files/DSC_2563_d9dba906-ded7-4018-8478-72cc80ea3aa0_330x.jpg?v=1701839508
3 Piece Khaddar Suit-Paste Print(Unstitched),GREY,"Regular priceRs. 3,699",https://www.limelight.pk/cdn/shop/files/DSC03176_330x.jpg?v=1701690293
Leather Coat,BROWN,"Regular priceRs. 7,499",https://www.limelight.pk/cdn/shop/files/DSC09985_4d902298-e11c-4afa-843b-9e8c3cfb3602_330x.jpg?v=1701848439
Linen Kurti-Embroidered (Pret),ORANGE,"Regular priceRs. 3,799",https://www.limelight.pk/cdn/shop/files/DSC03906_1_330x.jpg?v=1700725700
Stitch Pattern Handbag,YELLOW,"Regular priceRs. 2,899",https://www.limelight.pk/cdn/shop/files/DSC09140_330x.jpg?v=1701322723
Embellished Mules,PURPLE,"Regular priceRs. 2,999",https://www.limelight.pk/cdn/shop/files/DSC_2541_2b4a7d5d-c9c3-4b9f-9c18-5b1758b1a56e_330x.jpg?v=1701839494
Khaddar Shirt-Printed(Unstitched),GREEN,"Regular priceRs. 1,199",https://www.limelight.pk/cdn/shop/files/DSC00848_d9d8e9ff-c2e0-4c05-afa0-ece779efa6f3_330x.jpg?v=1701766178
Stitch Pattern Handbag,BLACK,"Regular priceRs. 2,899",https://www.limelight.pk/cdn/shop/files/DSC09066_330x.jpg?v=1701322698
3 Piece Velvet Suit-Embroidered(Unstitched),BLACK,"Regular priceRs. 11,999",https://www.limelight.pk/cdn/shop/files/DSC01533_330x.jpg?v=1701162798
3 Piece Organza Suit-Embellished (Pret),BLACK,"Regular priceRs. 24,999",https://www.limelight.pk/cdn/shop/files/DSC07497_330x.jpg?v=1701340903
Embellished Mules,BLACK,"Regular priceRs. 2,999",https://www.limelight.pk/cdn/shop/files/DSC_2527_fc4b5516-ba5f-4497-96dd-e2dabceb8812_330x.jpg?v=1701839498
